model,model_key,baseline_key,n_subjects,mean_delta_vs_baseline,ci_lo,ci_hi,se
M1 Raw Reward,ll_m1,ll_m0,36,0.34498516477086555,0.3316199632810267,0.3578775885096066,0.007290144350034
M2-Q RPE,ll_m2_q,ll_m0,36,0.5587713051671264,0.5487119334731693,0.5671212161145134,0.004942120551217535
M2-B Belief,ll_m2_b,ll_m0,36,0.5950626152752002,0.5891229554464802,0.6009119446101777,0.003197712198859489
M3-Q Combined,ll_m3_q,ll_m0,36,0.5702130082529642,0.5616063018257759,0.5776070535263947,0.004311354944891525
M3-B Combined,ll_m3_b,ll_m0,36,0.600848261963994,0.5950835294384683,0.6067292600556962,0.002893988353286514
